Symbol Index,"Hypotheses (Letter, Proximity)"
0,"[('𐎓', 0.9501141279919345), ('𐎝', 0.791199712473267), ('𐎏', 0.7863413656276872), ('𐎁', 0.7592057314715798), ('𐎈', 0.7585715751464283), ('𐎉', 0.7483126773170238), ('\U0001039e', 0.7477545689378075), ('𐎛', 0.7271009020856192), ('𐎒', 0.7228083340831337), ('𐎘', 0.7203572797851617), ('𐎌', 0.7060513738846819), ('𐎕', 0.69199803218023), ('𐎅', 0.6880729004624884), ('𐎄', 0.6874004861612831), ('𐎜', 0.6781868337379674), ('𐎍', 0.6778961855928651), ('𐎊', 0.6753911074547773), ('𐎙', 0.6649045303153226), ('𐎎', 0.6571771846383131), ('𐎖', 0.650788908010422), ('𐎑', 0.6284936430796566), ('𐎔', 0.6280566976363584), ('𐎇', 0.6180253397051375), ('𐎗', 0.6169458625081209), ('𐎂', 0.6078536317116477), ('𐎋', 0.6054800334529865), ('𐎃', 0.5932891328983545), ('𐎆', 0.5898355540140424), ('𐎀', 0.5692316864553357), ('𐎟', 0.5658054297858437), ('𐎐', 0.5267527674323511), ('𐎚', 0.5135149974703997)]"
1,"[('𐎆', 0.9616273764831389), ('𐎋', 0.9227252501956443), ('𐎗', 0.8280570236706524), ('𐎑', 0.791312931120528), ('𐎀', 0.7774581741606187), ('𐎔', 0.7408360607970845), ('𐎐', 0.7264287164230024), ('𐎚', 0.7169928042679017), ('𐎄', 0.706020876865855), ('𐎖', 0.6944818564846559), ('𐎙', 0.6941284248581714), ('𐎅', 0.6899073927107704), ('𐎉', 0.6746265180692469), ('𐎁', 0.6704577637765594), ('𐎜', 0.6642162523383051), ('𐎛', 0.6548945253549867), ('𐎈', 0.6470243502784561), ('𐎏', 0.6460115399598179), ('𐎌', 0.6321995832092524), ('𐎝', 0.6123704047873574), ('𐎍', 0.607010030461525), ('\U0001039e', 0.5988974870681629), ('𐎓', 0.5896340255213204), ('𐎊', 0.585469205064213), ('𐎎', 0.5833027537394438), ('𐎕', 0.5787299033314978), ('𐎒', 0.5592125993099256), ('𐎘', 0.5527562452500139), ('𐎟', 0.5290119770203262), ('𐎇', 0.5079054427768663), ('𐎃', 0.5038176572029482), ('𐎂', 0.4795662023017338)]"
2,"[('𐎐', 0.8426027493918917), ('𐎀', 0.7876463236394351), ('𐎆', 0.7327930047551044), ('𐎋', 0.7133001158421409), ('𐎗', 0.7062134369428085), ('𐎚', 0.6973024335660536), ('𐎔', 0.6625069031154092), ('𐎑', 0.6598537312178077), ('𐎜', 0.6488639128370391), ('𐎄', 0.6416178909213339), ('𐎙', 0.6313437872208298), ('𐎅', 0.6109087133838549), ('𐎉', 0.6070602502044212), ('𐎖', 0.6015628868150082), ('𐎁', 0.600643944598113), ('𐎍', 0.590717746642435), ('𐎈', 0.5880639371487305), ('𐎌', 0.5874759410239837), ('𐎊', 0.5873748948566074), ('𐎏', 0.5823283317015409), ('𐎝', 0.5763864414992632), ('\U0001039e', 0.5727479549091473), ('𐎛', 0.5693927768964979), ('𐎕', 0.5617864617451038), ('𐎎', 0.5526280187535846), ('𐎟', 0.5459002773775125), ('𐎘', 0.5363765450607568), ('𐎒', 0.5345652358267557), ('𐎓', 0.5293835760603202), ('𐎇', 0.5133491419489825), ('𐎃', 0.512544902800812), ('𐎂', 0.47547161010243294)]"
3,"[('𐎚', 0.9342272644306728), ('𐎀', 0.7643520643175965), ('𐎗', 0.7495507733884528), ('𐎋', 0.7359732540208856), ('𐎆', 0.7354446601368518), ('𐎐', 0.7326627050664065), ('𐎔', 0.7128127370720136), ('𐎄', 0.657910179759803), ('𐎅', 0.6421963259038771), ('𐎑', 0.6217715540132822), ('𐎜', 0.6063043090988978), ('𐎁', 0.6057711518192948), ('𐎙', 0.5970213948504808), ('𐎛', 0.5875991332343745), ('𐎉', 0.5733815746893056), ('𐎖', 0.562679825061245), ('𐎈', 0.5562675369872191), ('𐎏', 0.5536764758174872), ('\U0001039e', 0.5516856011734967), ('𐎊', 0.5459830482038446), ('𐎝', 0.53709988030258), ('𐎌', 0.5357268260980028), ('𐎍', 0.5298589199820545), ('𐎓', 0.5216965252493792), ('𐎕', 0.5174702277243224), ('𐎒', 0.49910360369165563), ('𐎎', 0.49849691316291905), ('𐎟', 0.49847791588771967), ('𐎘', 0.4929120542063481), ('𐎃', 0.48914050063594267), ('𐎇', 0.47463762961765243), ('𐎂', 0.4397703683026005)]"
4,"[('𐎋', 0.9614959073780948), ('𐎆', 0.9194675246640276), ('𐎗', 0.8677793362287393), ('𐎀', 0.7787587364274697), ('𐎑', 0.7773242668315206), ('𐎔', 0.7752572552622067), ('𐎄', 0.7328763320274041), ('𐎅', 0.7209523773992126), ('𐎙', 0.7152822354297824), ('𐎚', 0.7127041800002456), ('𐎐', 0.7073078399074709), ('𐎁', 0.6940745882245716), ('𐎉', 0.6891790472147186), ('𐎖', 0.6881638342080485), ('𐎛', 0.6812178243006937), ('𐎜', 0.679862970995353), ('𐎈', 0.6611679178766239), ('𐎏', 0.6605928633342467), ('𐎌', 0.6402854791506063), ('𐎝', 0.622180933884192), ('𐎍', 0.615548198121667), ('\U0001039e', 0.607405510490822), ('𐎓', 0.6022415387944933), ('𐎊', 0.5970809787446241), ('𐎕', 0.5895593782384113), ('𐎎', 0.5869589027157769), ('𐎒', 0.5693028443191025), ('𐎘', 0.5604701416936694), ('𐎟', 0.5387786714700686), ('𐎇', 0.5152389867062639), ('𐎃', 0.5119857924089765), ('𐎂', 0.48469204702651164)]"
5,"[('𐎘', 0.9715480651463547), ('𐎝', 0.8161985936631035), ('𐎒', 0.7836038988721795), ('𐎍', 0.757047424667786), ('𐎕', 0.7565201339983058), ('𐎏', 0.7459231390971957), ('𐎌', 0.7423994206297652), ('𐎊', 0.7389502297412098), ('𐎈', 0.7323300825000127), ('𐎓', 0.7243827034775479), ('𐎉', 0.7180598743825235), ('𐎎', 0.7071862189668), ('\U0001039e', 0.702951403156391), ('𐎇', 0.6982358228881219), ('𐎜', 0.6930150182489638), ('𐎂', 0.6776464697180156), ('𐎁', 0.6770833607666324), ('𐎙', 0.6498884202310402), ('𐎄', 0.6335245550786046), ('𐎟', 0.632519311555949), ('𐎛', 0.6255699066158201), ('𐎃', 0.6231767702225953), ('𐎅', 0.6110095827697144), ('𐎖', 0.6095336905416687), ('𐎑', 0.5868461015026835), ('𐎔', 0.576272198334295), ('𐎗', 0.5692199126790933), ('𐎋', 0.5587007484461918), ('𐎀', 0.5541372174884175), ('𐎆', 0.5491842601883677), ('𐎐', 0.5224990275104809), ('𐎚', 0.4805365030297349)]"
6,"[('𐎚', 0.9342272644306728), ('𐎀', 0.7643520643175965), ('𐎗', 0.7495507733884528), ('𐎋', 0.7359732540208856), ('𐎆', 0.7354446601368518), ('𐎐', 0.7326627050664065), ('𐎔', 0.7128127370720136), ('𐎄', 0.657910179759803), ('𐎅', 0.6421963259038771), ('𐎑', 0.6217715540132822), ('𐎜', 0.6063043090988978), ('𐎁', 0.6057711518192948), ('𐎙', 0.5970213948504808), ('𐎛', 0.5875991332343745), ('𐎉', 0.5733815746893056), ('𐎖', 0.562679825061245), ('𐎈', 0.5562675369872191), ('𐎏', 0.5536764758174872), ('\U0001039e', 0.5516856011734967), ('𐎊', 0.5459830482038446), ('𐎝', 0.53709988030258), ('𐎌', 0.5357268260980028), ('𐎍', 0.5298589199820545), ('𐎓', 0.5216965252493792), ('𐎕', 0.5174702277243224), ('𐎒', 0.49910360369165563), ('𐎎', 0.49849691316291905), ('𐎟', 0.49847791588771967), ('𐎘', 0.4929120542063481), ('𐎃', 0.48914050063594267), ('𐎇', 0.47463762961765243), ('𐎂', 0.4397703683026005)]"
7,"[('𐎁', 0.9539281727886183), ('𐎄', 0.8695961614344375), ('𐎅', 0.8314894455116627), ('𐎜', 0.8024649726366234), ('𐎛', 0.7792656116162034), ('𐎏', 0.7699195176904512), ('𐎔', 0.7694651233475007), ('𐎉', 0.7632948495711863), ('𐎈', 0.7464248311324768), ('𐎝', 0.7374334044684505), ('𐎗', 0.7361116391865564), ('𐎙', 0.736021787021874), ('𐎓', 0.7339689774168295), ('\U0001039e', 0.7299452786356098), ('𐎊', 0.7254177851433214), ('𐎌', 0.695118605515058), ('𐎋', 0.6941439431555486), ('𐎕', 0.678168248210288), ('𐎍', 0.6753562752954069), ('𐎀', 0.6736771140019072), ('𐎘', 0.6693224732842221), ('𐎒', 0.6662109071409363), ('𐎆', 0.6658501020096207), ('𐎑', 0.6574240977913128), ('𐎖', 0.6364534181441884), ('𐎎', 0.6127937851623001), ('𐎃', 0.6058306530467661), ('𐎇', 0.605470794367263), ('𐎐', 0.6012871244492157), ('𐎟', 0.600429710581929), ('𐎚', 0.5950177832736956), ('𐎂', 0.5562554286005674)]"
8,"[('𐎗', 0.9601457810802848), ('𐎔', 0.8794927850690818), ('𐎋', 0.8443584125710921), ('𐎀', 0.806710852868403), ('𐎆', 0.8061357474677888), ('𐎄', 0.7895252331710926), ('𐎅', 0.7781844836289132), ('𐎚', 0.728863893901165), ('𐎙', 0.728166403504433), ('𐎁', 0.719894475107226), ('𐎜', 0.7175311431374565), ('𐎐', 0.7005462219282844), ('𐎛', 0.7004529726917337), ('𐎑', 0.6985085796981798), ('𐎉', 0.6855492040926693), ('𐎈', 0.6625921245824808), ('𐎏', 0.6576572432648073), ('𐎖', 0.6341401866038134), ('𐎊', 0.630144434391682), ('𐎌', 0.6283724739006762), ('𐎝', 0.6271009833877239), ('\U0001039e', 0.6232951965393224), ('𐎍', 0.6224960325468377), ('𐎕', 0.6061879624716507), ('𐎓', 0.6025775654071585), ('𐎒', 0.5796188228363248), ('𐎎', 0.5755587298261914), ('𐎟', 0.5680457444844412), ('𐎘', 0.5670935060383302), ('𐎃', 0.5405340810975484), ('𐎇', 0.5343870235667666), ('𐎂', 0.49279567825425696)]"
9,"[('𐎎', 0.9690389568972706), ('𐎍', 0.790882686050035), ('𐎌', 0.7692912834614324), ('𐎈', 0.751376250951202), ('𐎉', 0.7408472659179327), ('𐎝', 0.7290502227694564), ('𐎕', 0.728879809587195), ('𐎏', 0.7283856298464817), ('𐎒', 0.7263165165994855), ('𐎘', 0.7046270005676383), ('𐎙', 0.6937421965746041), ('𐎖', 0.6824940821407158), ('𐎓', 0.658993974298745), ('𐎑', 0.6448912567921193), ('𐎜', 0.6385273514334596), ('𐎊', 0.6345090727564558), ('𐎛', 0.6291518637200907), ('𐎁', 0.6256925949472066), ('\U0001039e', 0.6161463228559975), ('𐎄', 0.6041896162342627), ('𐎟', 0.6036733411784222), ('𐎂', 0.5995973192158426), ('𐎅', 0.59731201500739), ('𐎇', 0.5953305901061633), ('𐎋', 0.5892870643993325), ('𐎆', 0.5843276193147443), ('𐎗', 0.5838999881957758), ('𐎔', 0.574653266631932), ('𐎀', 0.5624310354787754), ('𐎃', 0.5384064814332171), ('𐎐', 0.5329033064835047), ('𐎚', 0.4897072891464359)]"
