Symbol Index,"Hypotheses (Letter, Proximity)"
0,"[('𐎀', 0.9999999999999998), ('𐎐', 0.8092985269540409), ('𐎗', 0.8028942983528705), ('𐎋', 0.786483789009584), ('𐎆', 0.7828252278108381), ('𐎔', 0.7538902004276078), ('𐎚', 0.7487029865053264), ('𐎄', 0.7186981039055581), ('𐎜', 0.706934197901562), ('𐎅', 0.6843023983016003), ('𐎑', 0.6827741430268593), ('𐎙', 0.6812162850746732), ('𐎁', 0.6682103952365352), ('𐎉', 0.6478217704307835), ('𐎛', 0.6308607264607473), ('𐎏', 0.6261459148965096), ('𐎈', 0.6213965212811997), ('𐎌', 0.6178062952478338), ('𐎖', 0.616542031854627), ('𐎊', 0.6148792848264052), ('𐎍', 0.604702055977184), ('𐎝', 0.6036598510912937), ('\U0001039e', 0.6028640008352647), ('𐎕', 0.5825964337757633), ('𐎓', 0.5658178148360313), ('𐎎', 0.5625770740577123), ('𐎘', 0.5570835809951478), ('𐎟', 0.5565458602424945), ('𐎒', 0.5562531495428339), ('𐎃', 0.528543893718237), ('𐎇', 0.5238110070790589), ('𐎂', 0.4814359197408464)]"
1,"[('𐎁', 1.0), ('𐎄', 0.8535310217177329), ('𐎅', 0.8218242025132855), ('𐎜', 0.8031564617429714), ('𐎏', 0.7931361296312054), ('𐎛', 0.7898555333414469), ('𐎉', 0.7822634843995759), ('𐎈', 0.7656974121465573), ('𐎝', 0.7575385784011543), ('𐎔', 0.7567599246459017), ('𐎓', 0.7521764259051119), ('𐎙', 0.7467056776181341), ('\U0001039e', 0.7367396871352903), ('𐎊', 0.7306989112514809), ('𐎗', 0.729165803063861), ('𐎌', 0.7132448872159702), ('𐎋', 0.6939532130064398), ('𐎕', 0.6920762148098515), ('𐎍', 0.6907545876292702), ('𐎘', 0.6842855613168731), ('𐎒', 0.682186617970761), ('𐎀', 0.6682103952365352), ('𐎆', 0.6662602098246482), ('𐎑', 0.6650781555245475), ('𐎖', 0.6471600060396773), ('𐎎', 0.6274806001207278), ('𐎇', 0.6126916522242758), ('𐎃', 0.6067120856842414), ('𐎟', 0.6050443902097415), ('𐎐', 0.5983657002019127), ('𐎚', 0.5872593089619774), ('𐎂', 0.5655483060622202)]"
2,"[('𐎂', 1.0), ('𐎇', 0.7869644677539874), ('𐎒', 0.7206823026878925), ('𐎕', 0.6847669068778203), ('𐎘', 0.6846616449961823), ('𐎃', 0.6769017900452444), ('𐎝', 0.6565875563721909), ('𐎊', 0.649377903273983), ('\U0001039e', 0.6455573891224363), ('𐎍', 0.6409776520535316), ('𐎓', 0.6208018177544917), ('𐎟', 0.6131686086718402), ('𐎎', 0.6047000776569594), ('𐎈', 0.593906897816248), ('𐎏', 0.5890790366639648), ('𐎌', 0.5855427611969964), ('𐎉', 0.5741802532056779), ('𐎜', 0.571257675619471), ('𐎁', 0.5655483060622201), ('𐎛', 0.5567509722365066), ('𐎙', 0.5485394508436304), ('𐎄', 0.5397622513685526), ('𐎅', 0.5396283809253815), ('𐎖', 0.510678954600483), ('𐎔', 0.5077977506133776), ('𐎑', 0.49727811797135457), ('𐎗', 0.4957268117085152), ('𐎋', 0.4867652778159567), ('𐎀', 0.4814359197408464), ('𐎆', 0.48014468075644673), ('𐎐', 0.4616439704548032), ('𐎚', 0.43312445266870436)]"
3,"[('𐎃', 1.0), ('𐎇', 0.7929853472533951), ('𐎊', 0.7254292732940564), ('\U0001039e', 0.6885847282606581), ('𐎂', 0.6769017900452444), ('𐎕', 0.6594769145459912), ('𐎟', 0.6529850258010105), ('𐎒', 0.6528838537175701), ('𐎝', 0.6321470458379835), ('𐎘', 0.6318622491149607), ('𐎜', 0.6269867064301463), ('𐎍', 0.6094655544469295), ('𐎁', 0.6067120856842414), ('𐎓', 0.5978310412939235), ('𐎄', 0.5957281790167), ('𐎅', 0.5954406306031672), ('𐎛', 0.5812644645092094), ('𐎈', 0.580194430394914), ('𐎏', 0.5792176792817051), ('𐎉', 0.5691177710948201), ('𐎔', 0.5664139684731093), ('𐎙', 0.5631046971787311), ('𐎌', 0.560041834392607), ('𐎎', 0.5412302629299781), ('𐎗', 0.5389132364628229), ('𐎀', 0.528543893718237), ('𐎋', 0.5138356395639825), ('𐎆', 0.5037260840938311), ('𐎐', 0.4999824270952325), ('𐎑', 0.49539426252575003), ('𐎖', 0.49059846433237997), ('𐎚', 0.48043598832970785)]"
4,"[('𐎄', 1.0), ('𐎁', 0.8535310217177329), ('𐎅', 0.8447936094525789), ('𐎔', 0.8289963594566816), ('𐎜', 0.7987412848752737), ('𐎗', 0.7942734945797718), ('𐎛', 0.7538178969068855), ('𐎉', 0.7507160089156119), ('𐎙', 0.7465407353437491), ('𐎈', 0.7351364513139108), ('𐎋', 0.7334605908742384), ('𐎏', 0.7275102912223667), ('𐎊', 0.7189410789281221), ('𐎀', 0.7186981039055581), ('𐎝', 0.7073667337567923), ('𐎆', 0.7017107725344057), ('\U0001039e', 0.6982869646162294), ('𐎓', 0.6817362757606851), ('𐎍', 0.6728594324771957), ('𐎌', 0.6693682671321488), ('𐎑', 0.6676194733699551), ('𐎕', 0.6659646438651272), ('𐎒', 0.6448657115196809), ('𐎘', 0.6394642015521949), ('𐎐', 0.637394282199677), ('𐎚', 0.6355122238589345), ('𐎖', 0.6335666827148074), ('𐎟', 0.6090032955505293), ('𐎎', 0.6052701942475883), ('𐎃', 0.5957281790167), ('𐎇', 0.5920633591779896), ('𐎂', 0.5397622513685526)]"
5,"[('𐎅', 1.0), ('𐎔', 0.8530806140850673), ('𐎄', 0.8447936094525791), ('𐎛', 0.8330760031577066), ('𐎁', 0.8218242025132855), ('𐎗', 0.7819677093750481), ('𐎙', 0.7587023693359595), ('𐎜', 0.7538410448157031), ('𐎉', 0.7252925690318867), ('𐎋', 0.721472794934441), ('𐎏', 0.7165833422649807), ('𐎈', 0.7157263406511712), ('𐎊', 0.6910341367297083), ('𐎆', 0.6861722471195636), ('𐎝', 0.6855239887371615), ('𐎀', 0.6843023983016003), ('\U0001039e', 0.6828025477520182), ('𐎓', 0.6801879089317122), ('𐎕', 0.6698468235846139), ('𐎍', 0.6615103079288558), ('𐎌', 0.65854325757115), ('𐎑', 0.6481706424671524), ('𐎒', 0.6464874315961947), ('𐎚', 0.6188273170795034), ('𐎘', 0.6175160784791086), ('𐎖', 0.6158334821736428), ('𐎟', 0.6086306668077337), ('𐎐', 0.601542715141435), ('𐎎', 0.599339944618013), ('𐎃', 0.5954406306031672), ('𐎇', 0.5878047708183017), ('𐎂', 0.5396283809253815)]"
6,"[('𐎆', 1.0), ('𐎋', 0.9254283685514979), ('𐎗', 0.8225680968606404), ('𐎑', 0.7875034976741566), ('𐎀', 0.7828252278108381), ('𐎔', 0.7368223098125791), ('𐎐', 0.7331752092800479), ('𐎚', 0.7198445753106973), ('𐎄', 0.7017107725344057), ('𐎙', 0.6935366760195624), ('𐎖', 0.6909871217407544), ('𐎅', 0.6861722471195636), ('𐎉', 0.6718225898869145), ('𐎁', 0.6662602098246481), ('𐎜', 0.6614976673028449), ('𐎛', 0.6539851400797051), ('𐎈', 0.6449097417132359), ('𐎏', 0.6430423698356073), ('𐎌', 0.6310724820798616), ('𐎝', 0.6110787850583063), ('𐎍', 0.6080094828792902), ('\U0001039e', 0.5971983582363614), ('𐎓', 0.5868565057314692), ('𐎎', 0.584977484756551), ('𐎊', 0.584773579047995), ('𐎕', 0.5793897163119297), ('𐎒', 0.5598306110935259), ('𐎘', 0.5517981981651354), ('𐎟', 0.5304060622906475), ('𐎇', 0.5083026548995626), ('𐎃', 0.5037260840938311), ('𐎂', 0.48014468075644673)]"
7,"[('𐎇', 1.0), ('𐎃', 0.7929853472533951), ('𐎂', 0.7869644677539874), ('𐎊', 0.7516226213229595), ('𐎒', 0.7361343707213128), ('𐎕', 0.7318683693871866), ('𐎘', 0.7083040161000935), ('𐎟', 0.696266166932997), ('\U0001039e', 0.6878029827080534), ('𐎝', 0.6842507869408047), ('𐎍', 0.6748795410057619), ('𐎜', 0.6359327815655322), ('𐎓', 0.6277969586276674), ('𐎈', 0.6200990310791767), ('𐎏', 0.6150327513154155), ('𐎁', 0.6126916522242758), ('𐎌', 0.6051593372167964), ('𐎉', 0.6024935205879816), ('𐎎', 0.5989965030185639), ('𐎄', 0.5920633591779896), ('𐎛', 0.5898234907234724), ('𐎅', 0.5878047708183017), ('𐎙', 0.5877291006068505), ('𐎔', 0.5556073730852177), ('𐎗', 0.5356511768482151), ('𐎀', 0.5238110070790589), ('𐎋', 0.5176300210716872), ('𐎖', 0.5164970708883004), ('𐎑', 0.5133928466210652), ('𐎆', 0.5083026548995626), ('𐎐', 0.4968610869636365), ('𐎚', 0.4662602994928325)]"
8,"[('𐎈', 0.9999999999999998), ('𐎉', 0.9123293511372768), ('𐎏', 0.8519239029934117), ('𐎝', 0.8255605757302499), ('𐎍', 0.8027475048128111), ('𐎙', 0.7840427996745762), ('𐎌', 0.7837815282578301), ('𐎁', 0.7656974121465573), ('𐎕', 0.7617796280209186), ('𐎓', 0.7596840641305374), ('𐎒', 0.7544984135920232), ('𐎎', 0.7519900536767054), ('𐎛', 0.7397822776384775), ('𐎜', 0.7366696351345318), ('𐎘', 0.7360277988097066), ('𐎄', 0.7351364513139108), ('𐎅', 0.7157263406511712), ('𐎊', 0.715086503896617), ('𐎖', 0.7040335705635393), ('\U0001039e', 0.6918480161536262), ('𐎑', 0.68871360492896), ('𐎗', 0.6736975396155047), ('𐎔', 0.6735478777172802), ('𐎋', 0.6623140842051016), ('𐎆', 0.6449097417132359), ('𐎟', 0.6277809748726424), ('𐎀', 0.6213965212811997), ('𐎇', 0.6200990310791769), ('𐎂', 0.5939068978162481), ('𐎃', 0.580194430394914), ('𐎐', 0.5713636044802338), ('𐎚', 0.5425850112315994)]"
9,"[('𐎉', 1.0), ('𐎈', 0.9123293511372768), ('𐎏', 0.8822180311854474), ('𐎌', 0.8127568627651613), ('𐎙', 0.8067168961753253), ('𐎝', 0.8067028974001456), ('𐎁', 0.7822634843995759), ('𐎍', 0.7800011398769484), ('𐎜', 0.7599101429091296), ('𐎄', 0.7507160089156119), ('𐎓', 0.7452250991863424), ('𐎛', 0.7415787332517558), ('𐎎', 0.739892781384136), ('𐎕', 0.7344062829886564), ('𐎖', 0.7318694519029725), ('𐎅', 0.7252925690318868), ('𐎑', 0.7230695945558548), ('𐎒', 0.7206718684380827), ('𐎘', 0.7204905580012313), ('𐎊', 0.7038000198649249), ('𐎗', 0.6985175373645861), ('𐎔', 0.6909913241450497), ('𐎋', 0.6897825739900476), ('\U0001039e', 0.6891674759545107), ('𐎆', 0.6718225898869145), ('𐎀', 0.6478217704307835), ('𐎟', 0.6131214123325284), ('𐎇', 0.6024935205879816), ('𐎐', 0.5923873100475163), ('𐎂', 0.5741802532056779), ('𐎃', 0.5691177710948201), ('𐎚', 0.5590318000498556)]"
